	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
458703	Uganda/UG045/2020	EPI_ISL_737965	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458704	Uganda/UG046/2020	EPI_ISL_737939	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458711	Uganda/UG053/2020	EPI_ISL_737970	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458712	Uganda/UG054/2020	EPI_ISL_737971	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458713	Uganda/UG055/2020	EPI_ISL_737972	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458714	Uganda/UG056/2020	EPI_ISL_737973	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458715	Uganda/UG057/2020	EPI_ISL_737974	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458716	Uganda/UG058/2020	EPI_ISL_737931	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458717	Uganda/UG059/2020	EPI_ISL_737975	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458718	Uganda/UG060/2020	EPI_ISL_737976	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458719	Uganda/UG061/2020	EPI_ISL_737977	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458720	Uganda/UG062/2020	EPI_ISL_737978	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
458721	Uganda/UG063/2020	EPI_ISL_737979	Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al
