	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
352216	Switzerland/AG-42387010/2020	EPI_ISL_581943	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al
352217	Switzerland/AG-42398667/2020	EPI_ISL_581968	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al
352218	Switzerland/AG-42412432/2020	EPI_ISL_581987	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al
352219	Switzerland/AG-42424382/2020	EPI_ISL_830740	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
352220	Switzerland/AG-42445382/2020	EPI_ISL_830737	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
352221	Switzerland/AG-42447043/2020	EPI_ISL_830736	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
352222	Switzerland/AG-42447876/2020	EPI_ISL_830738	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
352223	Switzerland/AG-42456598/2020	EPI_ISL_830739	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al
352255	Switzerland/AG-ETHZ-130028/2020	EPI_ISL_467015	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352257	Switzerland/AG-ETHZ-150042plus/2020	EPI_ISL_483667	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352258	Switzerland/AG-ETHZ-160011/2020	EPI_ISL_486508	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352259	Switzerland/AG-ETHZ-170002/2020	EPI_ISL_486517	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352260	Switzerland/AG-ETHZ-170014/2020	EPI_ISL_486527	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352261	Switzerland/AG-ETHZ-180001/2020	EPI_ISL_489959	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352262	Switzerland/AG-ETHZ-180003/2020	EPI_ISL_489960	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352263	Switzerland/AG-ETHZ-180018/2020	EPI_ISL_489966	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352264	Switzerland/AG-ETHZ-180023/2020	EPI_ISL_489970	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352265	Switzerland/AG-ETHZ-190017/2020	EPI_ISL_500882	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352266	Switzerland/AG-ETHZ-190045/2020	EPI_ISL_500907	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352267	Switzerland/AG-ETHZ-190057/2020	EPI_ISL_500918	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352268	Switzerland/AG-ETHZ-190058/2020	EPI_ISL_500919	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352269	Switzerland/AG-ETHZ-190070/2020	EPI_ISL_500928	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352270	Switzerland/AG-ETHZ-190082/2020	EPI_ISL_500938	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352271	Switzerland/AG-ETHZ-190084/2020	EPI_ISL_500940	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352272	Switzerland/AG-ETHZ-200002/2020	EPI_ISL_510692	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352273	Switzerland/AG-ETHZ-200003/2020	EPI_ISL_510693	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352274	Switzerland/AG-ETHZ-200023/2020	EPI_ISL_510712	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352275	Switzerland/AG-ETHZ-200030/2020	EPI_ISL_510719	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352276	Switzerland/AG-ETHZ-210014/2020	EPI_ISL_510761	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352277	Switzerland/AG-ETHZ-210015/2020	EPI_ISL_510762	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352278	Switzerland/AG-ETHZ-210017/2020	EPI_ISL_511986	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352279	Switzerland/AG-ETHZ-210028/2020	EPI_ISL_510771	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352280	Switzerland/AG-ETHZ-210043/2020	EPI_ISL_510783	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352281	Switzerland/AG-ETHZ-210058/2020	EPI_ISL_510791	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352282	Switzerland/AG-ETHZ-220012/2020	EPI_ISL_511999	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352283	Switzerland/AG-ETHZ-220032/2020	EPI_ISL_512014	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352284	Switzerland/AG-ETHZ-220063/2020	EPI_ISL_512032	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352285	Switzerland/AG-ETHZ-230003/2020	EPI_ISL_516554	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352286	Switzerland/AG-ETHZ-230004/2020	EPI_ISL_516555	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352287	Switzerland/AG-ETHZ-240009/2020	EPI_ISL_523864	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352288	Switzerland/AG-ETHZ-240044/2020	EPI_ISL_523886	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352289	Switzerland/AG-ETHZ-250060/2020	EPI_ISL_535586	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352290	Switzerland/AG-ETHZ-250086/2020	EPI_ISL_535605	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352291	Switzerland/AG-ETHZ-250115/2020	EPI_ISL_535624	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352292	Switzerland/AG-ETHZ-260013/2020	EPI_ISL_539349	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352293	Switzerland/AG-ETHZ-260057/2020	EPI_ISL_539383	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352294	Switzerland/AG-ETHZ-260060/2020	EPI_ISL_539386	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352295	Switzerland/AG-ETHZ-260063/2020	EPI_ISL_539388	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352296	Switzerland/AG-ETHZ-260080/2020	EPI_ISL_539402	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352297	Switzerland/AG-ETHZ-260091/2020	EPI_ISL_539412	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352298	Switzerland/AG-ETHZ-260117/2020	EPI_ISL_539426	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352299	Switzerland/AG-ETHZ-260131/2020	EPI_ISL_539436	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352300	Switzerland/AG-ETHZ-260148/2020	EPI_ISL_539444	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352301	Switzerland/AG-ETHZ-260149/2020	EPI_ISL_539445	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352302	Switzerland/AG-ETHZ-260153/2020	EPI_ISL_539448	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352303	Switzerland/AG-ETHZ-260154/2020	EPI_ISL_539449	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352304	Switzerland/AG-ETHZ-260158/2020	EPI_ISL_539452	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352305	Switzerland/AG-ETHZ-260172/2020	EPI_ISL_539463	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352306	Switzerland/AG-ETHZ-270037/2020	EPI_ISL_541401	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352307	Switzerland/AG-ETHZ-270046/2020	EPI_ISL_541402	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352308	Switzerland/AG-ETHZ-270067/2020	EPI_ISL_541403	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352309	Switzerland/AG-ETHZ-270088/2020	EPI_ISL_541404	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352310	Switzerland/AG-ETHZ-270091/2020	EPI_ISL_541405	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352311	Switzerland/AG-ETHZ-270096/2020	EPI_ISL_541406	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352312	Switzerland/AG-ETHZ-270106/2020	EPI_ISL_541407	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352313	Switzerland/AG-ETHZ-270107/2020	EPI_ISL_541408	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352314	Switzerland/AG-ETHZ-270111/2020	EPI_ISL_541409	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352315	Switzerland/AG-ETHZ-270120/2020	EPI_ISL_541410	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352316	Switzerland/AG-ETHZ-270139/2020	EPI_ISL_541411	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352317	Switzerland/AG-ETHZ-270165/2020	EPI_ISL_541412	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352318	Switzerland/AG-ETHZ-270166/2020	EPI_ISL_541413	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352319	Switzerland/AG-ETHZ-270172/2020	EPI_ISL_541414	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352320	Switzerland/AG-ETHZ-270180/2020	EPI_ISL_541415	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352321	Switzerland/AG-ETHZ-280072/2020	EPI_ISL_560416	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352322	Switzerland/AG-ETHZ-280079/2020	EPI_ISL_560417	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352323	Switzerland/AG-ETHZ-280086/2020	EPI_ISL_560419	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352324	Switzerland/AG-ETHZ-280113/2020	EPI_ISL_560420	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352325	Switzerland/AG-ETHZ-280134/2020	EPI_ISL_560421	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352326	Switzerland/AG-ETHZ-280149/2020	EPI_ISL_560422	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352327	Switzerland/AG-ETHZ-280153/2020	EPI_ISL_560423	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352328	Switzerland/AG-ETHZ-280156/2020	EPI_ISL_560424	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352329	Switzerland/AG-ETHZ-280178/2020	EPI_ISL_560425	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352330	Switzerland/AG-ETHZ-280188/2020	EPI_ISL_560426	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352331	Switzerland/AG-ETHZ-280191/2020	EPI_ISL_560427	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352332	Switzerland/AG-ETHZ-280247/2020	EPI_ISL_560428	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352333	Switzerland/AG-ETHZ-300257/2020	EPI_ISL_603289	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352334	Switzerland/AG-ETHZ-300312/2020	EPI_ISL_603344	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352335	Switzerland/AG-ETHZ-300414/2020	EPI_ISL_603375	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352336	Switzerland/AG-ETHZ-300445/2020	EPI_ISL_603398	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352337	Switzerland/AG-ETHZ-310395/2020	EPI_ISL_603469	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352338	Switzerland/AG-ETHZ-310396/2020	EPI_ISL_603470	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352339	Switzerland/AG-ETHZ-310401/2020	EPI_ISL_603475	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352340	Switzerland/AG-ETHZ-310404/2020	EPI_ISL_603478	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352341	Switzerland/AG-ETHZ-310407/2020	EPI_ISL_603481	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352342	Switzerland/AG-ETHZ-310478/2020	EPI_ISL_603548	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352343	Switzerland/AG-ETHZ-310481/2020	EPI_ISL_603551	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352344	Switzerland/AG-ETHZ-321356/2020	EPI_ISL_603606	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352345	Switzerland/AG-ETHZ-321508/2020	EPI_ISL_603718	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352346	Switzerland/AG-ETHZ-321513/2020	EPI_ISL_603723	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352347	Switzerland/AG-ETHZ-321520/2020	EPI_ISL_603729	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352348	Switzerland/AG-ETHZ-331066/2020	EPI_ISL_614893	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352349	Switzerland/AG-ETHZ-331076/2020	EPI_ISL_614894	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352350	Switzerland/AG-ETHZ-340116/2020	EPI_ISL_721703	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352351	Switzerland/AG-ETHZ-340132/2020	EPI_ISL_721704	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352352	Switzerland/AG-ETHZ-340134/2020	EPI_ISL_721676	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352353	Switzerland/AG-ETHZ-340135/2020	EPI_ISL_721705	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352354	Switzerland/AG-ETHZ-340137/2020	EPI_ISL_721706	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352355	Switzerland/AG-ETHZ-340138/2020	EPI_ISL_721707	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352356	Switzerland/AG-ETHZ-340139/2020	EPI_ISL_721708	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352357	Switzerland/AG-ETHZ-340141/2020	EPI_ISL_721680	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352358	Switzerland/AG-ETHZ-340142/2020	EPI_ISL_721672	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352359	Switzerland/AG-ETHZ-340143/2020	EPI_ISL_721709	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352360	Switzerland/AG-ETHZ-340148/2020	EPI_ISL_721697	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352361	Switzerland/AG-ETHZ-340149/2020	EPI_ISL_721710	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352362	Switzerland/AG-ETHZ-350112/2020	EPI_ISL_693812	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352363	Switzerland/AG-ETHZ-350113/2020	EPI_ISL_693813	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352364	Switzerland/AG-ETHZ-350117/2020	EPI_ISL_693817	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352365	Switzerland/AG-ETHZ-350125/2020	EPI_ISL_693823	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352366	Switzerland/AG-ETHZ-350127/2020	EPI_ISL_693825	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352367	Switzerland/AG-ETHZ-350186/2020	EPI_ISL_693835	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352368	Switzerland/AG-ETHZ-350308/2020	EPI_ISL_729000	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352369	Switzerland/AG-ETHZ-350309/2020	EPI_ISL_729191	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352370	Switzerland/AG-ETHZ-350310/2020	EPI_ISL_728780	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352371	Switzerland/AG-ETHZ-350312/2020	EPI_ISL_728801	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352372	Switzerland/AG-ETHZ-350351/2020	EPI_ISL_729198	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352373	Switzerland/AG-ETHZ-350354/2020	EPI_ISL_729199	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352374	Switzerland/AG-ETHZ-350416/2020	EPI_ISL_728934	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352375	Switzerland/AG-ETHZ-350447/2020	EPI_ISL_729203	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352376	Switzerland/AG-ETHZ-360000/2020	EPI_ISL_693860	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352377	Switzerland/AG-ETHZ-360081/2020	EPI_ISL_693892	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al
352378	Switzerland/AG-ETHZ-360211/2020	EPI_ISL_728987	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352379	Switzerland/AG-ETHZ-360214/2020	EPI_ISL_729251	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
352380	Switzerland/AG-ETHZ-360215/2020	EPI_ISL_728989	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Chaoran Chen et al
