	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
20592	Beijing/IVDC-01-01/2020	EPI_ISL_850948	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Xiang Zhao et al
20593	Beijing/IVDC-01-06/2020	EPI_ISL_469254	National Institute for Viral Disease Control and Prevention, China CDC	Institute of Viral Disease Control and Prevention, China CDC	Wenjie Tan et al
20594	Beijing/IVDC-02-06/2020	EPI_ISL_469255	National Institute for Viral Disease Control and Prevention, China CDC	Institute of Viral Disease Control and Prevention, China CDC	Xiang Zhao et al
258017	Hebei/IVDC-01-01/2021	EPI_ISL_796012	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258018	Hebei/IVDC-01-05/2021	EPI_ISL_796013	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258019	Hebei/IVDC-02-01/2021	EPI_ISL_796014	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258020	Hebei/IVDC-02-05/2021	EPI_ISL_796015	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258021	Hebei/IVDC-03-01/2021	EPI_ISL_796016	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258022	Hebei/IVDC-03-05/2021	EPI_ISL_796017	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258023	Hebei/IVDC-04-01/2021	EPI_ISL_796018	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
258024	Hebei/IVDC-04-05/2021	EPI_ISL_796019	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Hebei Provincial Center for Disease Control and Prevention, Shijiazhuang, Hebei Province; National Institute for Viral Disease Control and Prevention, China CDC	Shunxiang Qi et al
