	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
308142	NewZealand/21CV0068/2021	EPI_ISL_877212	LabPLUS	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
460908	Vietnam/PIHCM-1564/2020	EPI_ISL_812922	Pasteur Institute in Ho Chi Minh city	Department of Microbiology and Immunology - Pasteur Institute in Ho Chi Minh city	Manh Huy Dao et al
