	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
286947	Netherlands/LI-RIVM-20955/2020	EPI_ISL_790979	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286948	Netherlands/LI-RIVM-20956/2020	EPI_ISL_790980	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286949	Netherlands/LI-RIVM-20957/2020	EPI_ISL_790981	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286950	Netherlands/LI-RIVM-20958/2020	EPI_ISL_790982	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286951	Netherlands/LI-RIVM-20959/2020	EPI_ISL_790983	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286952	Netherlands/LI-RIVM-20960/2020	EPI_ISL_790984	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286953	Netherlands/LI-RIVM-20961/2020	EPI_ISL_790985	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286954	Netherlands/LI-RIVM-21069/2020	EPI_ISL_791080	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286955	Netherlands/LI-RIVM-21078/2020	EPI_ISL_790923	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286956	Netherlands/LI-RIVM-21130/2020	EPI_ISL_824053	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286957	Netherlands/LI-RIVM-21230/2020	EPI_ISL_824156	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286958	Netherlands/LI-RIVM-21241/2020	EPI_ISL_824163	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286959	Netherlands/LI-RIVM-21242/2020	EPI_ISL_824164	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286960	Netherlands/LI-RIVM-21243/2020	EPI_ISL_824165	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286961	Netherlands/LI-RIVM-21244/2020	EPI_ISL_824166	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286962	Netherlands/LI-RIVM-21245/2020	EPI_ISL_824167	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286963	Netherlands/LI-RIVM-21246/2020	EPI_ISL_824168	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286964	Netherlands/LI-RIVM-21260/2020	EPI_ISL_824183	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286965	Netherlands/LI-RIVM-21261/2020	EPI_ISL_824184	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286966	Netherlands/LI-RIVM-21262/2020	EPI_ISL_824185	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286967	Netherlands/LI-RIVM-21264/2020	EPI_ISL_824187	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286968	Netherlands/LI-RIVM-21271/2020	EPI_ISL_824194	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286969	Netherlands/LI-RIVM-21272/2020	EPI_ISL_824195	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286970	Netherlands/LI-RIVM-21288/2020	EPI_ISL_824207	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286971	Netherlands/LI-RIVM-21289/2020	EPI_ISL_824208	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286972	Netherlands/LI-RIVM-21299/2020	EPI_ISL_824219	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286973	Netherlands/LI-RIVM-21300/2020	EPI_ISL_824220	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286974	Netherlands/LI-RIVM-21302/2020	EPI_ISL_824222	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286975	Netherlands/LI-RIVM-21303/2020	EPI_ISL_824223	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286976	Netherlands/LI-RIVM-21304/2020	EPI_ISL_824224	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286977	Netherlands/LI-RIVM-21305/2020	EPI_ISL_824225	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286978	Netherlands/LI-RIVM-21307/2020	EPI_ISL_824227	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286979	Netherlands/LI-RIVM-21309/2020	EPI_ISL_824229	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286980	Netherlands/LI-RIVM-21310/2020	EPI_ISL_824230	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286981	Netherlands/LI-RIVM-21311/2020	EPI_ISL_824231	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286982	Netherlands/LI-RIVM-21329/2020	EPI_ISL_824248	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286983	Netherlands/LI-RIVM-21337/2020	EPI_ISL_824257	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286984	Netherlands/LI-RIVM-21338/2020	EPI_ISL_824258	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286985	Netherlands/LI-RIVM-21450/2020	EPI_ISL_905538	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286986	Netherlands/LI-RIVM-21451/2020	EPI_ISL_905539	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286987	Netherlands/LI-RIVM-21452/2020	EPI_ISL_905540	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286988	Netherlands/LI-RIVM-21463/2020	EPI_ISL_905561	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286989	Netherlands/LI-RIVM-21465/2020	EPI_ISL_905563	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286990	Netherlands/LI-RIVM-21466/2020	EPI_ISL_905564	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286991	Netherlands/LI-RIVM-21487/2020	EPI_ISL_905662	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
286992	Netherlands/LI-RIVM-21488/2020	EPI_ISL_905663	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
287002	Netherlands/Limburg_16/2020	EPI_ISL_461004	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287003	Netherlands/Limburg_17/2020	EPI_ISL_461005	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287004	Netherlands/Limburg_18/2020	EPI_ISL_461006	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287005	Netherlands/Limburg_19/2020	EPI_ISL_461007	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287007	Netherlands/Limburg_20/2020	EPI_ISL_461008	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287008	Netherlands/Limburg_21/2020	EPI_ISL_461009	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287714	Netherlands/NA_709/2020	EPI_ISL_461144	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287716	Netherlands/NA_710/2020	EPI_ISL_461145	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287755	Netherlands/NB-EMC-178/2020	EPI_ISL_523301	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287763	Netherlands/NB-EMC-186/2020	EPI_ISL_523309	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287788	Netherlands/NB-EMC-211/2020	EPI_ISL_523334	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287789	Netherlands/NB-EMC-212/2020	EPI_ISL_523335	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287790	Netherlands/NB-EMC-213/2020	EPI_ISL_523336	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287791	Netherlands/NB-EMC-214/2020	EPI_ISL_523337	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287792	Netherlands/NB-EMC-215/2020	EPI_ISL_523338	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287793	Netherlands/NB-EMC-216/2020	EPI_ISL_523339	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287794	Netherlands/NB-EMC-217/2020	EPI_ISL_523340	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287795	Netherlands/NB-EMC-218/2020	EPI_ISL_523341	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287796	Netherlands/NB-EMC-219/2020	EPI_ISL_523342	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287797	Netherlands/NB-EMC-220/2020	EPI_ISL_523343	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287798	Netherlands/NB-EMC-221/2020	EPI_ISL_523344	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287799	Netherlands/NB-EMC-222/2020	EPI_ISL_523345	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287800	Netherlands/NB-EMC-223/2020	EPI_ISL_523346	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287801	Netherlands/NB-EMC-224/2020	EPI_ISL_523347	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287802	Netherlands/NB-EMC-225/2020	EPI_ISL_523348	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287803	Netherlands/NB-EMC-226/2020	EPI_ISL_523349	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287804	Netherlands/NB-EMC-227/2020	EPI_ISL_523350	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287805	Netherlands/NB-EMC-228/2020	EPI_ISL_523351	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287806	Netherlands/NB-EMC-229/2020	EPI_ISL_523352	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287807	Netherlands/NB-EMC-230/2020	EPI_ISL_523353	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287812	Netherlands/NB-EMC-235/2020	EPI_ISL_523358	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287813	Netherlands/NB-EMC-236/2020	EPI_ISL_523359	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287814	Netherlands/NB-EMC-237/2020	EPI_ISL_523360	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287815	Netherlands/NB-EMC-238/2020	EPI_ISL_523361	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287816	Netherlands/NB-EMC-239/2020	EPI_ISL_523362	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287817	Netherlands/NB-EMC-240/2020	EPI_ISL_523363	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287818	Netherlands/NB-EMC-241/2020	EPI_ISL_523364	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287819	Netherlands/NB-EMC-242/2020	EPI_ISL_523365	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287820	Netherlands/NB-EMC-243/2020	EPI_ISL_523366	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287821	Netherlands/NB-EMC-244/2020	EPI_ISL_523367	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287822	Netherlands/NB-EMC-245/2020	EPI_ISL_523368	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287823	Netherlands/NB-EMC-246/2020	EPI_ISL_523369	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287824	Netherlands/NB-EMC-247/2020	EPI_ISL_523370	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287825	Netherlands/NB-EMC-248/2020	EPI_ISL_523371	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287826	Netherlands/NB-EMC-249/2020	EPI_ISL_523372	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287827	Netherlands/NB-EMC-250/2020	EPI_ISL_523373	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287828	Netherlands/NB-EMC-251/2020	EPI_ISL_523374	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287829	Netherlands/NB-EMC-252/2020	EPI_ISL_523375	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287830	Netherlands/NB-EMC-253/2020	EPI_ISL_523376	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287831	Netherlands/NB-EMC-254/2020	EPI_ISL_523377	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287832	Netherlands/NB-EMC-255/2020	EPI_ISL_523378	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287833	Netherlands/NB-EMC-256/2020	EPI_ISL_523379	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287834	Netherlands/NB-EMC-257/2020	EPI_ISL_523380	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287835	Netherlands/NB-EMC-258/2020	EPI_ISL_523381	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287836	Netherlands/NB-EMC-259/2020	EPI_ISL_523382	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287837	Netherlands/NB-EMC-260/2020	EPI_ISL_523383	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287838	Netherlands/NB-EMC-261/2020	EPI_ISL_523384	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287839	Netherlands/NB-EMC-262/2020	EPI_ISL_523385	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287857	Netherlands/NB-EMC-281/2020	EPI_ISL_523403	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287858	Netherlands/NB-EMC-282/2020	EPI_ISL_523404	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287863	Netherlands/NB-EMC-288/2020	EPI_ISL_577837	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287864	Netherlands/NB-EMC-289/2020	EPI_ISL_577838	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287865	Netherlands/NB-EMC-290/2020	EPI_ISL_577839	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287866	Netherlands/NB-EMC-291/2020	EPI_ISL_577840	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287867	Netherlands/NB-EMC-292/2020	EPI_ISL_577841	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287868	Netherlands/NB-EMC-293/2020	EPI_ISL_577842	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287869	Netherlands/NB-EMC-294/2020	EPI_ISL_577843	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287870	Netherlands/NB-EMC-295/2020	EPI_ISL_577844	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287873	Netherlands/NB-EMC-298/2020	EPI_ISL_632510	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287874	Netherlands/NB-EMC-299/2020	EPI_ISL_632511	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287875	Netherlands/NB-EMC-300/2020	EPI_ISL_632535	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287876	Netherlands/NB-EMC-301/2020	EPI_ISL_632536	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287877	Netherlands/NB-EMC-302/2020	EPI_ISL_632537	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287878	Netherlands/NB-EMC-303/2020	EPI_ISL_632329	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287879	Netherlands/NB-EMC-304/2020	EPI_ISL_632538	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287880	Netherlands/NB-EMC-305/2020	EPI_ISL_632658	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287881	Netherlands/NB-EMC-306/2020	EPI_ISL_632659	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287882	Netherlands/NB-EMC-307/2020	EPI_ISL_632660	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287883	Netherlands/NB-EMC-308/2020	EPI_ISL_632661	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287884	Netherlands/NB-EMC-309/2020	EPI_ISL_632662	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287885	Netherlands/NB-EMC-310/2020	EPI_ISL_632663	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287886	Netherlands/NB-EMC-311/2020	EPI_ISL_632664	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287887	Netherlands/NB-EMC-312/2020	EPI_ISL_632665	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287888	Netherlands/NB-EMC-313/2020	EPI_ISL_632446	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287889	Netherlands/NB-EMC-314/2020	EPI_ISL_632666	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287890	Netherlands/NB-EMC-315/2020	EPI_ISL_632667	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287891	Netherlands/NB-EMC-316/2020	EPI_ISL_632668	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287892	Netherlands/NB-EMC-317/2020	EPI_ISL_632771	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287893	Netherlands/NB-EMC-318/2020	EPI_ISL_632359	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287894	Netherlands/NB-EMC-319/2020	EPI_ISL_632772	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287895	Netherlands/NB-EMC-320/2020	EPI_ISL_632773	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287896	Netherlands/NB-EMC-321/2020	EPI_ISL_632774	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287897	Netherlands/NB-EMC-322/2020	EPI_ISL_632775	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287898	Netherlands/NB-EMC-323/2020	EPI_ISL_632366	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287899	Netherlands/NB-EMC-324/2020	EPI_ISL_722496	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287900	Netherlands/NB-EMC-325/2020	EPI_ISL_722508	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287901	Netherlands/NB-EMC-326/2020	EPI_ISL_722528	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287902	Netherlands/NB-EMC-327/2020	EPI_ISL_632608	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287903	Netherlands/NB-EMC-328/2020	EPI_ISL_632609	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287904	Netherlands/NB-EMC-329/2020	EPI_ISL_722530	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287905	Netherlands/NB-EMC-330/2020	EPI_ISL_722531	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287906	Netherlands/NB-EMC-331/2020	EPI_ISL_722293	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287907	Netherlands/NB-EMC-332/2020	EPI_ISL_722538	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287908	Netherlands/NB-EMC-333/2020	EPI_ISL_722404	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287909	Netherlands/NB-EMC-334/2020	EPI_ISL_722539	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287910	Netherlands/NB-EMC-335/2020	EPI_ISL_722540	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287911	Netherlands/NB-EMC-336/2020	EPI_ISL_722550	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287912	Netherlands/NB-EMC-337/2020	EPI_ISL_722551	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287913	Netherlands/NB-EMC-338/2020	EPI_ISL_722552	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287914	Netherlands/NB-EMC-339/2020	EPI_ISL_722553	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287915	Netherlands/NB-EMC-340/2020	EPI_ISL_722564	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287916	Netherlands/NB-EMC-341/2020	EPI_ISL_722565	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287917	Netherlands/NB-EMC-342/2020	EPI_ISL_722566	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287918	Netherlands/NB-EMC-343/2020	EPI_ISL_722583	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287919	Netherlands/NB-EMC-344/2020	EPI_ISL_722524	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287920	Netherlands/NB-EMC-345/2020	EPI_ISL_722525	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287921	Netherlands/NB-EMC-346/2020	EPI_ISL_722526	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287922	Netherlands/NB-EMC-347/2020	EPI_ISL_722287	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287923	Netherlands/NB-EMC-348/2020	EPI_ISL_722567	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287924	Netherlands/NB-EMC-349/2020	EPI_ISL_722584	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287925	Netherlands/NB-EMC-350/2020	EPI_ISL_722398	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287926	Netherlands/NB-EMC-351/2020	EPI_ISL_722532	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287927	Netherlands/NB-EMC-352/2020	EPI_ISL_722533	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287928	Netherlands/NB-EMC-353/2020	EPI_ISL_722556	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287929	Netherlands/NB-EMC-354/2020	EPI_ISL_722568	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287930	Netherlands/NB-EMC-355/2020	EPI_ISL_722591	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287931	Netherlands/NB-EMC-356/2020	EPI_ISL_722373	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287932	Netherlands/NB-EMC-357/2020	EPI_ISL_722541	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287933	Netherlands/NB-EMC-358/2020	EPI_ISL_722542	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287934	Netherlands/NB-EMC-359/2020	EPI_ISL_722400	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287935	Netherlands/NB-EMC-361/2020	EPI_ISL_722282	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287936	Netherlands/NB-EMC-362/2020	EPI_ISL_722699	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287937	Netherlands/NB-EMC-363/2020	EPI_ISL_722720	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287938	Netherlands/NB-EMC-364/2020	EPI_ISL_722700	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287939	Netherlands/NB-EMC-365/2020	EPI_ISL_722561	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287940	Netherlands/NB-EMC-366/2020	EPI_ISL_722336	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287941	Netherlands/NB-EMC-367/2020	EPI_ISL_722274	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287942	Netherlands/NB-EMC-369/2020	EPI_ISL_722403	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287943	Netherlands/NB-EMC-370/2020	EPI_ISL_722492	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287944	Netherlands/NB-EMC-373/2020	EPI_ISL_722278	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287945	Netherlands/NB-EMC-374/2020	EPI_ISL_722832	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287946	Netherlands/NB-EMC-375/2020	EPI_ISL_722833	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287947	Netherlands/NB-EMC-378/2020	EPI_ISL_722827	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287948	Netherlands/NB-EMC-379/2020	EPI_ISL_722829	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287949	Netherlands/NB-EMC-380/2020	EPI_ISL_722834	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287950	Netherlands/NB-EMC-381/2020	EPI_ISL_722835	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287951	Netherlands/NB-EMC-382/2020	EPI_ISL_722836	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287952	Netherlands/NB-EMC-383/2020	EPI_ISL_722841	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287953	Netherlands/NB-EMC-384/2020	EPI_ISL_722585	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
287954	Netherlands/NB-EMC-386/2020	EPI_ISL_722353	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
