	strain	gisaid_epi_isl	originating_lab	submitting_lab	authors
285487	Netherlands/DR-RIVM-20592/2020	EPI_ISL_790675	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285488	Netherlands/DR-RIVM-20593/2020	EPI_ISL_790676	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285489	Netherlands/DR-RIVM-20594/2020	EPI_ISL_790677	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285490	Netherlands/DR-RIVM-20771/2020	EPI_ISL_790913	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285491	Netherlands/DR-RIVM-20780/2020	EPI_ISL_790921	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285492	Netherlands/DR-RIVM-20781/2020	EPI_ISL_790922	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285493	Netherlands/DR-RIVM-20791/2020	EPI_ISL_790851	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285494	Netherlands/DR-RIVM-20859/2020	EPI_ISL_790828	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285495	Netherlands/DR-RIVM-21159/2020	EPI_ISL_824075	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285496	Netherlands/DR-RIVM-21160/2020	EPI_ISL_824076	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285497	Netherlands/DR-RIVM-21162/2020	EPI_ISL_824078	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285498	Netherlands/DR-RIVM-21164/2020	EPI_ISL_824080	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285499	Netherlands/DR-RIVM-21210/2020	EPI_ISL_824128	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285500	Netherlands/DR-RIVM-21213/2020	EPI_ISL_824131	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285501	Netherlands/DR-RIVM-21214/2020	EPI_ISL_824132	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285502	Netherlands/DR-RIVM-21389/2020	EPI_ISL_905395	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285503	Netherlands/DR-RIVM-21391/2020	EPI_ISL_905397	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285504	Netherlands/DR-RIVM-21392/2020	EPI_ISL_905398	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285505	Netherlands/DR-RIVM-21394/2020	EPI_ISL_905400	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285506	Netherlands/DR-RIVM-21397/2020	EPI_ISL_905403	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285507	Netherlands/DR-RIVM-21398/2020	EPI_ISL_905404	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285508	Netherlands/DR-RIVM-21411/2020	EPI_ISL_905465	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285509	Netherlands/DR-RIVM-21419/2020	EPI_ISL_905473	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285510	Netherlands/DR-RIVM-21638/2020	EPI_ISL_904765	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285511	Netherlands/DR-RIVM-21671/2020	EPI_ISL_904766	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285512	Netherlands/DR-RIVM-21675/2020	EPI_ISL_904767	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
285520	Netherlands/FL-EMC-19/2020	EPI_ISL_523128	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285521	Netherlands/FL-EMC-20/2020	EPI_ISL_523129	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285522	Netherlands/FL-EMC-21/2020	EPI_ISL_523130	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285523	Netherlands/FL-EMC-22/2020	EPI_ISL_523131	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285524	Netherlands/FL-EMC-23/2020	EPI_ISL_523132	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285525	Netherlands/FL-EMC-24/2020	EPI_ISL_523133	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285526	Netherlands/FL-EMC-25/2020	EPI_ISL_523134	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285529	Netherlands/FL-EMC-28/2020	EPI_ISL_523137	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285530	Netherlands/FL-EMC-29/2020	EPI_ISL_632632	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
285531	Netherlands/FL-EMC-30/2020	EPI_ISL_632652	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al
