	France	United Kingdom	Austria	Netherlands	Norway	Spain	Belgium	Switzerland	Germany	USA	Ireland	Italy	New Zealand	Sweden	Australia	Singapore	Denmark	Hong Kong	Portugal	Luxembourg	Lithuania	Iceland	Czech Republic	Scotland	England	Wales	Northern Ireland
25				1.0		7																					
26						59																					
27						11																					
28		1.0				25																				1.0	
29		1.0				35	1.0																		1.0		
30		11.0				16	2.0	1.0			1.0														7.0		4.0
31	1.0	14.0		1.0	9.0	37	7.0	5.0			3.0													1.0	12.0		1.0
32	3.0	31.0		1.0	47.0	66	1.0	10.0	1.0								1.0							8.0	19.0	2.0	2.0
33	3.0	130.0			2.0	42	1.0	13.0	5.0		4.0	2.0		1.0			19.0	1.0				1.0		43.0	72.0	3.0	12.0
34	8.0	309.0		1.0	2.0	53		18.0	4.0	1.0	2.0	7.0			2.0		21.0	1.0				4.0		66.0	210.0	21.0	12.0
35	4.0	566.0		12.0		34		45.0		1.0		10.0		2.0			42.0					2.0		134.0	385.0	45.0	2.0
36	12.0	606.0		9.0		57	2.0	48.0			17.0	7.0					193.0					3.0		148.0	374.0	82.0	2.0
37	6.0	1183.0		13.0		116	5.0	47.0	1.0		19.0	10.0					64.0				11.0	3.0		212.0	710.0	256.0	5.0
38	12.0	1617.0		31.0	1.0	78	22.0	1.0	25.0		57.0	49.0		2.0			217.0					157.0		340.0	844.0	426.0	7.0
39	7.0	2715.0		23.0		73	13.0	6.0	15.0	2.0	5.0	2.0	1.0	4.0	1.0		259.0			2.0		218.0	1.0	634.0	1582.0	480.0	19.0
40	6.0	2173.0		32.0	3.0	128	2.0	35.0	9.0		3.0	11.0	4.0	8.0	1.0		132.0			6.0		275.0		560.0	1243.0	351.0	19.0
41	10.0	3840.0		29.0	3.0	88	14.0	89.0	18.0	1.0	45.0		4.0	3.0	1.0		114.0			3.0		519.0		449.0	2787.0	550.0	54.0
42	14.0	3995.0		35.0	11.0	102	16.0	142.0	25.0	1.0	61.0	14.0	2.0	2.0		1.0	246.0			10.0		409.0		274.0	3094.0	490.0	137.0
43	11.0	5461.0		34.0	15.0	104	45.0	14.0	10.0		8.0	20.0	2.0	7.0	3.0	1.0	74.0			61.0		274.0		411.0	4108.0	851.0	91.0
44	4.0	4988.0		44.0	13.0	63	11.0	50.0	4.0		2.0	116.0	4.0	21.0	3.0	4.0	441.0			53.0		291.0		446.0	3516.0	875.0	5.0
45	9.0	6723.0		45.0	8.0	50	5.0	66.0	14.0	2.0	38.0	30.0	3.0	5.0	1.0	1.0	469.0	1.0	13.0	37.0	1.0	124.0		293.0	5679.0	728.0	23.0
46	8.0	6884.0		65.0	15.0	68	33.0	19.0	15.0	4.0	31.0	5.0	2.0	2.0	4.0	1.0	318.0		243.0	62.0	3.0	48.0		198.0	5950.0	692.0	44.0
47	14.0	4023.0		107.0	14.0	97	15.0	35.0	13.0	1.0	43.0	6.0	5.0	1.0			501.0		21.0	39.0	1.0	18.0		172.0	3147.0	703.0	1.0
48	8.0	2676.0		80.0	6.0	31	19.0	61.0	14.0		63.0	40.0		9.0	1.0		630.0		13.0	43.0		68.0	1.0	133.0	1746.0	797.0	
49	1.0	304.0		14.0		2	6.0	8.0	6.0	2.0		4.0					913.0	1.0		8.0		16.0		16.0	141.0	147.0	
