#produced by transform_wales
time,cases
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,4
2020-03-08,5
2020-03-09,8
2020-03-10,20
2020-03-11,35
2020-03-12,60
2020-03-13,88
2020-03-14,107
2020-03-15,139
2020-03-16,176
2020-03-17,213
2020-03-18,249
2020-03-19,309
2020-03-20,382
2020-03-21,457
2020-03-22,533
2020-03-23,666
2020-03-24,807
2020-03-25,997
2020-03-26,1174
2020-03-27,1367
2020-03-28,1534
2020-03-29,1693
2020-03-30,2036
2020-03-31,2313
2020-04-01,2640
2020-04-02,2976
2020-04-03,3306
2020-04-04,3588
2020-04-05,3811
2020-04-06,4194
2020-04-07,4580
2020-04-08,4966
2020-04-09,5357
2020-04-10,5665
2020-04-11,5912
2020-04-12,6159
2020-04-13,6432
2020-04-14,6749
2020-04-15,7110
2020-04-16,7473
2020-04-17,7797
2020-04-18,8044
2020-04-19,8225
2020-04-20,8506
2020-04-21,8765
2020-04-22,9018
2020-04-23,9219
2020-04-24,9432
2020-04-25,9568
2020-04-26,9689
2020-04-27,9861
2020-04-28,10014
2020-04-29,10190
2020-04-30,10390
2020-05-01,10566
2020-05-02,10745
2020-05-03,10850
2020-05-04,10989
2020-05-05,11164
2020-05-06,11335
2020-05-07,11511
2020-05-08,11626
2020-05-09,11762
2020-05-10,11869
2020-05-11,12047
2020-05-12,12197
2020-05-13,12350
2020-05-14,12482
2020-05-15,12661
2020-05-16,12827
2020-05-17,12945
2020-05-18,13113
2020-05-19,13326
2020-05-20,13492
2020-05-21,13624
2020-05-22,13761
2020-05-23,13884
2020-05-24,13966
2020-05-25,14071
2020-05-26,14173
2020-05-27,14291
2020-05-28,14393
2020-05-29,14499
2020-05-30,14569
2020-05-31,14615
2020-06-01,14679
2020-06-02,14752
2020-06-03,14827
2020-06-04,14887
2020-06-05,14942
2020-06-06,14995
2020-06-07,15029
2020-06-08,15103
2020-06-09,15165
2020-06-10,15232
2020-06-11,15298
2020-06-12,15373
2020-06-13,15443
2020-06-14,15497
2020-06-15,15563
2020-06-16,15645
2020-06-17,15709
2020-06-18,15771
2020-06-19,15911
2020-06-20,15958
2020-06-21,16034
2020-06-22,16100
2020-06-23,16231
2020-06-24,16268
2020-06-25,16328
2020-06-26,16347
2020-06-27,16487
2020-06-28,16515
2020-06-29,16558
2020-06-30,16593
2020-07-01,16620
2020-07-02,16648
2020-07-03,16667
2020-07-04,16676
2020-07-05,16688
2020-07-06,16723
2020-07-07,16751
2020-07-08,16765
2020-07-09,16787
2020-07-10,16816
2020-07-11,16828
2020-07-12,16838
2020-07-13,16862
2020-07-14,16885
2020-07-15,16903
2020-07-16,16928
2020-07-17,16945
2020-07-18,16956
2020-07-19,16966
2020-07-20,17009
2020-07-21,17070
2020-07-22,17095
2020-07-23,17126
2020-07-24,17156
2020-07-25,17180
2020-07-26,17215
2020-07-27,17238
2020-07-28,17265
2020-07-29,17292
2020-07-30,17322
2020-07-31,17338
2020-08-01,17354
2020-08-02,17368
2020-08-03,17390
2020-08-04,17414
2020-08-05,17436
2020-08-06,17458
2020-08-07,17473
2020-08-08,17478
2020-08-09,17486
2020-08-10,17505
2020-08-11,17532
2020-08-12,17556
2020-08-13,17573
2020-08-14,17590
2020-08-15,17600
2020-08-16,17618
2020-08-17,17637
2020-08-18,17675
2020-08-19,17710
2020-08-20,17741
2020-08-21,17763
2020-08-22,17782
2020-08-23,17793
2020-08-24,17829
2020-08-25,17879
2020-08-26,17923
2020-08-27,17973
2020-08-28,18025
2020-08-29,18069
2020-08-30,18115
2020-08-31,18159
2020-09-01,18216
2020-09-02,18311
2020-09-03,18436
2020-09-04,18585
2020-09-05,18713
2020-09-06,18844
2020-09-07,19003
2020-09-08,19146
2020-09-09,19304
2020-09-10,19490
2020-09-11,19635
2020-09-12,19775
2020-09-13,19940
2020-09-14,20131
2020-09-15,20295
2020-09-16,20502
2020-09-17,20763
2020-09-18,21009
2020-09-19,21289
2020-09-20,21541
2020-09-21,21850
2020-09-22,22229
2020-09-23,22607
2020-09-24,22923
2020-09-25,23308
2020-09-26,23711
2020-09-27,24028
2020-09-28,24454
2020-09-29,24920
2020-09-30,25516
2020-10-01,26139
2020-10-02,26738
2020-10-03,27256
2020-10-04,27870
2020-10-05,28573
2020-10-06,29344
2020-10-07,30192
2020-10-08,31019
2020-10-09,31801
2020-10-10,32420
2020-10-11,33045
2020-10-12,33827
2020-10-13,34779
2020-10-14,35683
2020-10-15,36474
2020-10-16,37426
2020-10-17,38134
2020-10-18,38850
2020-10-19,39960
2020-10-20,41197
2020-10-21,42460
2020-10-22,43516
2020-10-23,44713
2020-10-24,45737
2020-10-25,46677
2020-10-26,48233
2020-10-27,49711
2020-10-28,51066
2020-10-29,52648
2020-10-30,53887
2020-10-31,54761
2020-11-01,55708
2020-11-02,57116
2020-11-03,58334
2020-11-04,59426
2020-11-05,60439
2020-11-06,61310
2020-11-07,61901
2020-11-08,62591
2020-11-09,63238
2020-11-10,63838
2020-11-11,63942
2020-11-12,63948
