#produced by split_UK.py
#
#
time	cases
2020-12-13	1627873
2020-12-14	1657359
2020-12-15	1686444
2020-12-16	1716490
2020-12-17	1746052
2020-12-18	1777869
2020-12-19	1799598
2020-12-20	1828536
2020-12-21	1871057
2020-12-22	1911811
2020-12-23	1949416
2020-12-24	1977976
2020-12-25	1990582
2020-12-26	2027013
2020-12-27	2068610
2020-12-28	2106510
2020-12-29	2164623
2020-12-30	2188857
2020-12-31	2190702
