	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	2
30	12
31	21
32	15
33	30
34	22
35	21
36	7
37	0
38	3
39	2
40	1
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
