	first_seq	num_seqs	last_seq
USA	2020-05-17	827	2021-04-13
Japan	2020-10-23	1	2020-10-23
Canada	2020-11-19	7	2020-12-28
Mexico	2020-12-04	16	2021-03-24
Spain	2021-01-27	2	2021-02-08
Guam	2021-02-05	1	2021-02-05
