	first_seq	num_seqs	last_seq
India	2022-06-09	441	2022-09-28
Austria	2022-07-13	59	2022-10-05
New Zealand	2022-07-19	7	2022-09-21
Nepal	2022-07-26	3	2022-09-08
Japan	2022-07-26	15	2022-10-02
Germany	2022-07-29	23	2022-09-29
USA	2022-07-29	190	2022-10-05
Australia	2022-08-02	82	2022-10-12
Singapore	2022-08-03	94	2022-10-12
Israel	2022-08-06	18	2022-09-30
Canada	2022-08-06	37	2022-10-05
Denmark	2022-08-07	19	2022-10-04
United Kingdom	2022-08-07	95	2022-10-11
France	2022-08-08	12	2022-10-04
Netherlands	2022-08-11	17	2022-10-05
Malaysia	2022-08-14	2	2022-08-26
Ireland	2022-08-16	3	2022-09-12
Norway	2022-08-16	4	2022-09-22
Portugal	2022-08-18	3	2022-09-24
Luxembourg	2022-08-18	2	2022-09-28
South Korea	2022-08-19	16	2022-09-28
Switzerland	2022-08-21	8	2022-10-06
Estonia	2022-08-22	1	2022-08-22
Thailand	2022-08-22	1	2022-08-22
Spain	2022-08-22	5	2022-09-30
Bahrain	2022-08-23	2	2022-08-23
Belgium	2022-08-26	13	2022-10-08
Turkey	2022-09-05	4	2022-09-22
Brunei	2022-09-09	2	2022-09-15
Italy	2022-09-11	5	2022-10-04
Sweden	2022-09-17	11	2022-10-01
Croatia	2022-09-24	1	2022-09-24
Poland	2022-09-30	1	2022-09-30
Liechtenstein	2022-09-30	1	2022-09-30
