	first_seq	num_seqs	last_seq
USA	2024-01-12	7214	2025-01-29
United Kingdom	2024-03-17	2124	2025-01-27
France	2024-04-11	1807	2025-01-13
Spain	2024-06-13	982	2025-01-28
Germany	2024-06-24	1550	2025-01-22
Netherlands	2024-07-07	1089	2025-01-20
South Korea	2024-07-10	89	2025-01-20
Italy	2024-07-18	876	2025-02-01
Denmark	2024-07-22	1007	2025-01-13
Ireland	2024-07-22	398	2025-01-19
Austria	2024-07-23	49	2025-01-07
Sweden	2024-07-25	1112	2025-01-27
Canada	2024-07-28	7620	2025-01-29
Slovakia	2024-07-29	49	2024-11-26
Slovenia	2024-07-30	270	2025-01-21
Czech Republic	2024-07-31	25	2024-10-18
Belgium	2024-08-01	34	2024-11-28
Kosovo	2024-08-02	2	2024-08-09
Portugal	2024-08-03	92	2024-12-31
Japan	2024-08-05	955	2025-01-29
Finland	2024-08-06	145	2024-12-31
Hong Kong	2024-08-07	46	2025-01-12
Israel	2024-08-07	226	2025-01-20
Taiwan	2024-08-07	36	2025-02-03
Croatia	2024-08-08	37	2025-01-03
Romania	2024-08-08	6	2025-01-14
Poland	2024-08-09	98	2025-01-10
Greece	2024-08-13	218	2024-12-17
Luxembourg	2024-08-13	111	2024-12-31
Australia	2024-08-15	1474	2025-01-27
Norway	2024-08-18	91	2025-01-17
China	2024-08-20	6	2024-12-23
Brazil	2024-08-22	170	2025-01-07
Hungary	2024-09-01	4	2024-10-21
Georgia	2024-09-04	3	2024-11-14
Switzerland	2024-09-05	71	2025-01-12
New Zealand	2024-09-07	271	2025-01-18
Qatar	2024-09-08	5	2024-11-27
Russia	2024-09-09	28	2024-12-03
Ecuador	2024-09-11	2	2024-09-19
Argentina	2024-09-13	76	2024-12-17
Singapore	2024-09-13	229	2025-01-22
Guadeloupe	2024-09-16	8	2024-10-09
Bulgaria	2024-09-16	3	2024-12-09
Kenya	2024-09-19	2	2024-10-14
Chile	2024-09-20	82	2024-12-29
Turkey	2024-09-22	3	2024-10-03
South Africa	2024-09-27	18	2025-01-17
Malaysia	2024-10-07	7	2024-11-05
Thailand	2024-10-07	42	2025-01-13
Ukraine	2024-10-10	5	2024-11-26
Montenegro	2024-10-17	1	2024-10-17
Indonesia	2024-10-25	2	2024-11-11
Peru	2024-10-27	1	2024-10-27
New Caledonia	2024-11-07	2	2024-11-30
Uruguay	2024-11-07	4	2024-11-30
Lithuania	2024-11-08	1	2024-11-08
Mauritius	2024-12-06	1	2024-12-06
