	first_seq	num_seqs	last_seq
Qatar	2020-03-27	149	2021-04-17
South Africa	2020-05-11	3345	2021-05-11
Zimbabwe	2020-09-01	104	2021-01-25
Sweden	2020-11-08	1976	2021-05-18
Eswatini	2020-11-13	27	2021-03-04
Botswana	2020-11-21	103	2021-05-22
Malawi	2020-11-25	151	2021-01-25
Zambia	2020-12-01	31	2021-01-18
United Kingdom	2020-12-10	733	2021-05-25
Angola	2020-12-11	16	2021-02-22
Switzerland	2020-12-14	238	2021-05-20
Mozambique	2020-12-14	56	2021-01-30
Kenya	2020-12-15	54	2021-03-25
Lesotho	2020-12-16	15	2021-01-18
Israel	2020-12-17	199	2021-04-20
Japan	2020-12-19	72	2021-05-09
Finland	2020-12-19	251	2021-05-10
Belgium	2020-12-20	899	2021-05-26
Germany	2020-12-21	1814	2021-05-21
France	2020-12-22	2879	2021-05-26
Netherlands	2020-12-22	655	2021-05-21
Spain	2020-12-24	195	2021-05-21
Canada	2020-12-25	103	2021-04-21
South Korea	2020-12-26	26	2021-04-30
Australia	2020-12-26	57	2021-05-22
Ireland	2020-12-26	62	2021-04-19
United Arab Emirates	2020-12-26	6	2021-01-12
Norway	2020-12-27	324	2021-05-03
Hong Kong	2020-12-29	21	2021-05-12
New Zealand	2020-12-29	18	2021-04-27
India	2020-12-30	108	2021-05-13
USA	2021-01-01	1499	2021-05-26
Portugal	2021-01-02	84	2021-05-12
Denmark	2021-01-04	103	2021-05-10
Cameroon	2021-01-05	5	2021-03-01
Mauritius	2021-01-06	2	2021-01-18
Ghana	2021-01-06	7	2021-04-21
Panama	2021-01-11	2	2021-01-12
Rwanda	2021-01-11	26	2021-03-23
Austria	2021-01-12	219	2021-05-05
Equatorial Guinea	2021-01-12	39	2021-04-01
Bangladesh	2021-01-12	257	2021-05-16
Greece	2021-01-14	40	2021-05-16
Luxembourg	2021-01-16	636	2021-04-25
Russia	2021-01-19	8	2021-04-11
Iraq	2021-01-20	1	2021-01-20
Turkey	2021-01-21	459	2021-05-07
Democratic Republic of the Congo	2021-01-22	2	2021-03-28
Indonesia	2021-01-25	5	2021-05-05
Italy	2021-01-29	53	2021-05-12
Gabon	2021-02-01	3	2021-02-21
Malaysia	2021-02-01	66	2021-05-03
Guinea Bissau	2021-02-01	1	2021-02-01
Philippines	2021-02-03	631	2021-05-16
Thailand	2021-02-05	18	2021-05-13
Singapore	2021-02-07	177	2021-05-12
Poland	2021-02-08	32	2021-05-12
Slovakia	2021-02-08	26	2021-04-30
Slovenia	2021-02-09	30	2021-04-06
Madagascar	2021-02-09	17	2021-03-01
Croatia	2021-02-09	12	2021-03-13
Costa Rica	2021-02-10	11	2021-03-26
Bosnia and Herzegovina	2021-02-11	1	2021-02-11
Uganda	2021-02-13	13	2021-04-02
Czech Republic	2021-02-16	55	2021-05-02
Estonia	2021-02-17	13	2021-04-09
Monaco	2021-02-22	1	2021-02-22
Guadeloupe	2021-02-23	2	2021-03-02
Aruba	2021-02-25	4	2021-04-10
Lithuania	2021-03-02	9	2021-04-09
Sri Lanka	2021-03-02	2	2021-03-20
Côte d'Ivoire	2021-03-06	1	2021-03-06
Jordan	2021-03-07	4	2021-04-18
Brazil	2021-03-07	5	2021-04-05
Latvia	2021-03-08	7	2021-03-24
North Macedonia	2021-03-10	1	2021-03-10
Suriname	2021-03-19	4	2021-03-22
Romania	2021-03-24	6	2021-05-10
Sint Maarten	2021-03-24	1	2021-03-24
Taiwan	2021-03-30	1	2021-03-30
Mexico	2021-04-03	10	2021-05-06
Iran	2021-04-03	2	2021-04-03
Bahrain	2021-04-04	7	2021-04-10
Chile	2021-04-06	2	2021-04-10
Malta	2021-04-09	2	2021-04-21
Pakistan	2021-04-09	11	2021-05-16
Saudi Arabia	2021-04-15	1	2021-04-15
Tunisia	2021-04-24	2	2021-04-26
Argentina	2021-04-24	1	2021-04-24
