	first_seq	num_seqs	last_seq
China	2024-02-26	3934	2025-03-25
Hong Kong	2024-03-09	204	2025-04-01
USA	2024-03-11	501	2025-04-06
Australia	2024-03-18	130	2025-04-01
Germany	2024-03-19	12	2025-03-24
Canada	2024-03-25	149	2025-03-05
Singapore	2024-03-27	185	2025-04-08
Japan	2024-04-03	141	2025-03-21
South Korea	2024-04-04	97	2025-03-17
Israel	2024-04-08	17	2024-09-24
France	2024-04-13	28	2025-03-23
United Kingdom	2024-04-15	43	2025-03-18
Thailand	2024-04-16	29	2025-02-21
Malaysia	2024-04-18	9	2024-08-19
Ireland	2024-04-18	13	2024-08-22
New Zealand	2024-04-21	38	2025-02-10
Taiwan	2024-04-25	87	2025-03-31
Sweden	2024-04-27	16	2024-11-22
Iceland	2024-05-12	4	2024-06-26
Spain	2024-05-12	16	2024-11-23
Norway	2024-05-13	2	2024-07-22
Finland	2024-05-13	3	2025-03-24
Luxembourg	2024-05-15	1	2024-05-15
Switzerland	2024-05-16	2	2024-05-21
Netherlands	2024-05-19	18	2024-10-23
Italy	2024-05-21	8	2024-10-19
Cambodia	2024-05-24	2	2024-06-10
Belgium	2024-05-26	1	2024-05-26
Laos	2024-05-27	6	2024-07-23
Austria	2024-05-31	1	2024-05-31
Slovenia	2024-06-03	1	2024-06-03
Portugal	2024-06-03	5	2024-08-03
Philippines	2024-06-10	1	2024-06-10
Denmark	2024-06-10	12	2025-03-10
Argentina	2024-06-24	1	2024-06-24
Greece	2024-06-30	2	2024-08-23
Russia	2024-07-01	8	2025-02-19
Mexico	2024-07-08	1	2024-07-08
Czech Republic	2024-08-05	1	2024-08-05
Oman	2024-08-07	1	2024-08-07
Poland	2024-08-26	2	2024-09-06
Slovakia	2024-09-16	2	2024-09-16
