	first_seq	num_seqs	last_seq
Netherlands	2021-02-11	666	2022-01-13
Germany	2021-05-03	753	2021-12-26
Japan	2021-06-11	4	2021-08-21
Morocco	2021-06-13	62	2022-02-12
Israel	2021-06-28	9	2021-09-02
Ghana	2021-06-30	1	2021-06-30
USA	2021-07-01	498	2021-12-27
Belgium	2021-07-03	1272	2022-04-12
United Kingdom	2021-07-05	308	2022-01-09
France	2021-07-06	2359	2022-01-04
Canada	2021-07-08	332	2021-12-03
Italy	2021-07-09	198	2021-12-13
Spain	2021-07-14	781	2022-01-24
Switzerland	2021-07-15	120	2022-01-27
Sweden	2021-07-16	101	2021-12-26
Denmark	2021-07-20	503	2021-12-06
South Korea	2021-07-20	49	2021-12-14
Ireland	2021-07-27	2	2021-08-04
Austria	2021-07-27	2	2021-08-28
Bahrain	2021-07-28	6	2021-10-26
Finland	2021-07-28	5	2021-11-21
Norway	2021-08-02	105	2021-11-09
Romania	2021-08-04	2	2021-12-23
Gibraltar	2021-08-10	11	2021-08-28
Iceland	2021-08-12	1	2021-08-12
Estonia	2021-08-12	30	2021-12-31
Qatar	2021-08-13	14	2021-09-17
Chad	2021-08-16	1	2021-08-16
Portugal	2021-08-16	18	2021-11-30
Singapore	2021-08-18	1	2021-08-18
Chile	2021-08-23	1	2021-08-23
United Arab Emirates	2021-08-25	35	2021-11-06
Hong Kong	2021-08-26	3	2021-12-06
Slovenia	2021-08-30	2	2021-08-31
Lithuania	2021-09-03	1	2021-09-03
Jordan	2021-09-04	2	2021-09-20
Moldova	2021-09-08	1	2021-09-08
Turkey	2021-09-10	1	2021-09-10
Mexico	2021-09-13	3	2021-09-23
Poland	2021-09-16	8	2021-11-02
Latvia	2021-09-27	1	2021-09-27
Curacao	2021-11-06	1	2021-11-06
Croatia	2021-11-09	1	2021-11-09
Liechtenstein	2021-11-24	1	2021-11-24
Slovakia	2021-12-06	1	2021-12-06
Greece	2022-01-08	1	2022-01-08
